{ 09 41 A1 A1 1B 00 41 20 00 44 01 00 00 }, Delta:0.095ms, Position:[7073,8257], Pressure:324, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 B4 1B 00 82 20 00 4E 01 00 00 }, Delta:2.703ms, Position:[7092,8322], Pressure:334, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 CB 1B 00 C5 20 00 58 01 00 00 }, Delta:24.438ms, Position:[7115,8389], Pressure:344, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 E4 1B 00 0A 21 00 62 01 00 00 }, Delta:0.252ms, Position:[7140,8458], Pressure:354, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 00 1C 00 53 21 00 5C 01 00 00 }, Delta:0.420ms, Position:[7168,8531], Pressure:348, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 1B 1C 00 9B 21 00 3E 01 00 00 }, Delta:0.465ms, Position:[7195,8603], Pressure:318, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 38 1C 00 E2 21 00 00 00 00 00 }, Delta:0.677ms, Position:[7224,8674], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 53 1C 00 21 22 00 00 00 00 00 }, Delta:0.789ms, Position:[7251,8737], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 6F 1C 00 60 22 00 00 00 00 00 }, Delta:0.382ms, Position:[7279,8800], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 89 1C 00 9B 22 00 00 00 00 00 }, Delta:0.368ms, Position:[7305,8859], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 A3 1C 00 D4 22 00 00 00 00 00 }, Delta:2.855ms, Position:[7331,8916], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 BA 1C 00 04 23 00 00 00 00 00 }, Delta:5.747ms, Position:[7354,8964], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 CF 1C 00 34 23 00 00 00 00 00 }, Delta:20.460ms, Position:[7375,9012], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 E5 1C 00 5D 23 00 00 00 00 00 }, Delta:0.217ms, Position:[7397,9053], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 FC 1C 00 84 23 00 00 00 00 00 }, Delta:0.283ms, Position:[7420,9092], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 14 1D 00 A9 23 00 00 00 00 00 }, Delta:0.287ms, Position:[7444,9129], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 31 1D 00 C5 23 00 00 00 00 00 }, Delta:0.206ms, Position:[7473,9157], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 4F 1D 00 D9 23 00 00 00 00 00 }, Delta:0.532ms, Position:[7503,9177], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 71 1D 00 E4 23 00 00 00 00 00 }, Delta:1.551ms, Position:[7537,9188], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
